product_id,category,mismatch,confidence,reason,asin,amazon_url,rakuten_url,amazon_title,rakuten_title
613,diapers,LINE,high,"Amazon image shows Merries ずっと肌さらエアスルー パンツ M 62枚 single soft-pack (newer generation). Rakuten image and title show the SMILE & SMILE box series (素肌さらさらエアスルー, older generation) in a 3-pack (180-186枚). Different product line generations plus different pack quantities.",B0DJPDFSSW,https://www.amazon.co.jp/dp/B0DJPDFSSW,"https://item.rakuten.co.jp/caramelcafe/cot559686/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","メリーズ 【パンツ Mサイズ】ずっと肌さらエアスルー (6~11kg)62枚 【Amazon.co.jp限定】","【花王】メリーズ パンツ 素肌さらさらエアスルー M L XL ビッグ 3パックずっと肌さら エアスルー M 6-11kg 180枚 L 9-14kg 162枚 XL 12-22kg 138枚 サイズ 紙おむつ オムツ 赤ちゃん 箱入り ケース 大容量 ベビー用品 ギフト kao コストコ キャラメルカフェ 通販 直送"
653,wipes,LINE,high,"Both are Moony テープ 新生児 64枚 up to 3000g, but the Amazon image shows the 'マシュマロ肌ごこち' line while the Rakuten image shows the older 'すきまモレ0へ' line — different product lines, not the same physical product.",B01CG1TB4Q,https://www.amazon.co.jp/dp/B01CG1TB4Q,"https://item.rakuten.co.jp/cocodecow/r3856d/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","【テープ 小さめ新生児サイズ】ムーニー オムツ (3000gまで)64枚","【レビュー投稿で100円OFFクーポン】ユニ・チャーム ムーニー 新生児64枚 おむつ オムツ おしりふき ベビーケア"
691,diapers,LINE,high,"Both are MoonyMan パンツ 男の子 ビッグ 38枚, but the Amazon image shows the 'マシュマロ肌ごこち' line while the Rakuten image shows a different generation ('すっぽりハイウエスト/すきまモレ0へ'). The Amazon title lists 'エアフィット' but the image contradicts that. Different product lines.",B07K1WXDWJ,https://www.amazon.co.jp/dp/B07K1WXDWJ,"https://item.rakuten.co.jp/ulmaxjapan2/ha-4903111207671_10/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","ユニ・チャーム ムーニーマン エアフィット 男の子 ビッグ パンツ38枚","【10個セット】 ユニ・チャーム（ユニチャーム） ム-ニ-マン エアフィット 男の子 ビッグサイズ 38枚 備蓄 タイプ パンツタイプ ケアグッズ オムツ 紙おむつ ベビー用品 赤ちゃん 排泄関連 ケース ムーニー トイレ テープ 男の子用 ムーニーマン"
731,wipes,LINE,high,"Both are Moony テープ 新生児 76枚 up to 5000g, but the Amazon image shows 'マシュマロ肌ごこち' while the Rakuten image shows the older 'ゆるうんちストッパーでモレ0へ' line — different product lines.",B0BL39VYWW,https://www.amazon.co.jp/dp/B0BL39VYWW,"https://item.rakuten.co.jp/cocodecow/r3853d/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","【テープ 新生児サイズ】ムーニー マシュマロ肌ごこち モレ安心 オムツ（お誕生~5000gまで）76枚","【レビュー投稿で100円OFFクーポン】ユニ・チャーム ムーニー 新生児76枚 おむつ オムツ おしりふき ベビーケア"
737,wipes,LINE,high,"Amazon is LecBe 水99% standard line (弱酸性, 80枚×3); Rakuten is LecBe 水99.9% W保湿 'ふんわりおしりふき' premium line (80枚×8). Different product lines within the LecBe brand, and different pack counts.",B09FX8ST8X,https://www.amazon.co.jp/dp/B09FX8ST8X,"https://item.rakuten.co.jp/kenkoex/1051-4560319048682/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","レック(LEC) 純水ベビーケア 純水 99% おしりふき 80枚×3個 (240枚) 弱酸性 日本製","水99.9％ おしりふき 80枚入x8個パック"
769,wipes,LINE,high,"Both are LEC アンパンマン wipes (60枚×3) but they are different product versions. Amazon shows the デコボコ厚手タイプ with 純水99.9% and solo Anpanman artwork. Rakuten shows a different series with '3種の桃エキス配合' and a group-characters design. Different formula and product line despite same character license and count.",B09FY11H1L,https://www.amazon.co.jp/dp/B09FY11H1L,"https://item.rakuten.co.jp/ra-must/1367267/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","アンパンマン 純水99.9% おしりふき デコボコ 厚手 シート 赤ちゃん 日本製 60枚×3個 (180枚)","アンパンマン おしりふき（60枚入）×3個パック ｜ 水99％ 厚手 シート おしり拭き キャラクター 日本製 ウェットティッシュ 赤ちゃん ベビー ウェットシート 子ども 子供 肌に優しい 低刺激 無添加"
896,wipes,LINE,high,"Amazon shows standard ライフリー らくらくおしりふき (non-Pro, 3×72枚 bundle); Rakuten shows ライフリー らくらくおしりふきPro (Pro variant, 1×72枚). 'Pro' is a distinct sub-line, not merely a packaging difference.",B007M82QBY,https://www.amazon.co.jp/dp/B007M82QBY,"https://item.rakuten.co.jp/rcmdse/w5-0000000081172/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","ユニ・チャーム株式会社 ライフリーおしりふき トイレに流せる ７２枚入 ×3個セット","ユニ・チャーム GライフリーおしりふきProトイレに流せる72枚/袋/-(代引不可)"
966,wipes,TYPE,high,"Amazon is a DRY cotton wipe (天然コットン100%, dry baby wipe cotton, ~8cm×12cm) — the image clearly shows a dry cotton sheet product. Rakuten is a standard WET baby wipe (dacco ベビーおしりふき with flip lid, 純水99%, 厚手シート). Same brand (dacco) but fundamentally different product type: dry cotton vs wet wipe.",B09BNT8KZC,https://www.amazon.co.jp/dp/B09BNT8KZC,"https://item.rakuten.co.jp/kusuri-hagakure/1758949979-2-b/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","【美浜卸売-ORS4A01】ダッコ 赤ちゃんにやさしい おしりふきコットン 約８ｃｍ×１２ｃｍ ８０枚入×2個セット","dacco(ダッコ) ベビーおしりふき ふた付 80枚入 2個セット"
972,wipes,LINE,high,"Both are T.H.T (ティー・エイチ・ティー) brand, but Amazon shows the standard blue-packaged line ('水分たっぷり純水99%') while Rakuten shows the 'PlusCare' sub-line (red packaging, 'やわらかふきごこち', duck logo). The packaging design, product line name, and ingredients list differ — these are distinct product lines under the same brand. Additionally, Amazon is a 3-set (720枚) vs Rakuten's 8-pack (1920枚).",B0BD4J9RSF,https://www.amazon.co.jp/dp/B0BD4J9RSF,"https://item.rakuten.co.jp/kenkoex/1051-4523905004523x8/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","【まとめ買い】T.H.T 純水99% ヒアルロン酸配合 水分たっぷり 赤ちゃん 新生児からのおしりふき 80枚x3個パックx3セット(720枚入り)","ティー・エイチ・ティー 赤ちゃん用お尻ふき プラスケア ヒアルロン酸 やわらかおしりふき 80枚×3個パック x8個(ベビー用品 ノンアルコール ウェットティッシュ シート)"
1006,wipes,BRAND,high,"Amazon image shows RICO brand Baby Wipes (Rich Moisture, Organic, 100ct×9=900 sheets). Rakuten image shows Kirkland Signature Baby Wipes (Veocel fibers, Fragrance-Free, 9×100ct=900 sheets). Both are sold at Costco Japan but are entirely different branded products — RICO vs Kirkland Signature.",B0CG8DZHCF,https://www.amazon.co.jp/dp/B0CG8DZHCF,"https://item.rakuten.co.jp/rtor/10000653/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","コストコ RICO 赤ちゃん用 お尻拭き BABY WIPES 大容量 ケース 900枚(100×9個) (1)(y-courage商標登録済)","【送料無料】KS ベビーワイプ 赤ちゃんのおしりふき 100枚×9パック合計900枚！ カークランドシグネチャー/コストコ"
1013,wipes,SIZE,high,"Same brand and line (Pigeon おしりナップ ふわふわ厚手仕上げ ベビーオイルイン), but Amazon is the standard-size pack (66枚×6パック, refill bulk) while Rakuten is the travel/おでかけ size (30枚×2パック). The 30-sheet おでかけ pack is a distinct smaller SKU, not just a different bundle count of the same unit — the individual pack sheet count (30 vs 66) differs, indicating different physical product variants.",B08V8WSFPT,https://www.amazon.co.jp/dp/B08V8WSFPT,"https://item.rakuten.co.jp/akane-pharmacy/b08wwg5n6k/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","【おしりふき 詰替用】ピジョン Pigeon おしりナップ ふわふわ厚手仕上げ ベビーオイルイン 66枚×6パック","ピジョン おしりナップ ふわふわ厚手仕上げ ベビーオイルイン おでかけ (30枚×2個) ベビー用おしりふき"
1161,wipes,LINE,high,"Both are GOO.N (グーン) タップリッチ 70枚×24コ ケース販売, but Amazon is '水分たっぷりおしりふき' (Mickey blue design) while Rakuten is '肌にやさしいおしりふき 純水99%' (Tsum Tsum design). These are two different product lines within the GOO.N タップリッチ range with different formulations and different line names — confirmed by both images showing distinct packaging designs and different product sub-names.",B00U6ZBLZW,https://www.amazon.co.jp/dp/B00U6ZBLZW,"https://item.rakuten.co.jp/honeyworld/10000545/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","タップリッチ 【おしりふき 詰替用】グーン 肌にやさしいおしりふき 1680枚(70枚×24個) [ケース販売] (ディズニーデザイン) 【Amazon.co.jp限定】","おしりふき グーン タップリッチ 1680枚（70枚×24個） 詰め替え まとめ買い 大容量 エリエール 大王製紙 | 水分たっぷり 純水99% ノンアルコール パラベン無配合 厚手で使いやすい ベビー 赤ちゃん ストック 防災 手口ふき 送料無料"
1439,bottles,TYPE,high,"Both are ChuChu Multi Fit 広口タイプ 1個入, but Amazon is 'マルチフィット乳首' (all-age standard nipple, pink box) while Rakuten is 'ゆっくり飲み乳首' (slow-flow nipple for fast-drinking babies, yellow box). These are two distinct nipple variants with different flow rates — different product sub-type. The Rakuten listing is also a 10-pack bundle of 1個 units.",B0BTD6RCJV,https://www.amazon.co.jp/dp/B0BTD6RCJV,"https://item.rakuten.co.jp/auc-ulmax/ha-4973210996042_10/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","ChuChu（チュチュ） マルチフィット広口タイプシリコーンゴム製乳首 1個入 日本製 新生児 卒乳 全月齢","【10個セット】 チュチュ マルチフィット広口タイプゆっくり飲み乳首 1個 ジェクス マルチフィット シリコーンゴム製乳首 広口タイプ"
1552,formula,TYPE,high,"Amazon shows a flat flower/paw-shaped 4-compartment case with individual flip-top lids arranged in a clover pattern. Rakuten shows a tall cylindrical container with a rotating 3-section dispensing lid on top. Completely different form factor and dispensing mechanism — a different product type despite both being portable powder milk cases.",B0H1YDNSP5,https://www.amazon.co.jp/dp/B0H1YDNSP5,"https://item.rakuten.co.jp/hipowershop/www260418001816/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","旅行用粉ミルク保存容器 | 4分割携帯用子供おやつ収納オーガナイザー - プロテインパウダー旅行用収納ケース - 家庭 保育園 室内 外出 散歩 散策 休暇 用","4格式 保存容器 ベビー 携帯用 お出かけ 旅行 赤ちゃん 調乳 小物入れ 4回分 授乳 ベビーグッズ 小分け 携帯用 ケース 衛生的 赤ちゃん ミルクケース 粉ミルク容器 調乳ケース 容器 幼児用 便利 粉ミルク 持ち運び 粉ミルクケース ミルク"
1623,bottles,BRAND,high,"Amazon image clearly shows Pigeon brand slim-type heat-resistant glass nursing bottle 240mL. Rakuten image and title show ChuChu (チュチュ) brand slim glass nursing bottle 240mL. Same capacity and type but different brands.",B08CTG6MMG,https://www.amazon.co.jp/dp/B08CTG6MMG,"https://item.rakuten.co.jp/athlete-med/11311835/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","【美浜通商-ORS4A01】 スリムタイプ哺乳びん 耐熱ガラス製 240mL","スリムタイプ耐熱ガラス製哺乳びん チュチュ 240mL N G-240ML 0-6284-21"
1738,bottles,OTHER,high,"Amazon image and title clearly show the はらぺこあおむし (Very Hungry Caterpillar / Eric Carle) character design on the Skater BHOP2-A pouch; Rakuten image and title clearly show the Rilakkuma Baby character design on the same pouch model. Although character differences alone would not normally change identity, these are distinct named character-license SKUs with different product titles — the two listings represent different character variants that a shopper would not consider interchangeable.",B0CKYG1PC9,https://www.amazon.co.jp/dp/B0CKYG1PC9,"https://item.rakuten.co.jp/svalue/se911b0b3c43/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","スケーター(Skater) 哺乳瓶 ポーチ 哺乳瓶ケース 哺乳瓶カバー はらぺこあおむし BHOP2-A","SKATER 哺乳瓶 ポーチ リラックマ ベビー BHOP2-A 送料無料"
1749,bottles,BUNDLE_CONTENTS,high,"Amazon lists a single product: Kaneson Mama Nipple Shield S size 2pcs with case. Rakuten lists a 3-item bundle set that includes the nipple shield PLUS Pigeon breast pads (126pcs) AND Lansinoh nipple cream (11g). The Rakuten image confirms all three distinct products. The bundles contain fundamentally different items, not just different counts of the same unit.",B0DKC29R2G,https://www.amazon.co.jp/dp/B0DKC29R2G,"https://item.rakuten.co.jp/officekanna/4979869005265-set/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","【美浜通商-ORS4A01】カネソン ママニップルシールド 乳頭保護器 Sサイズ 2枚入 ケース付","【授乳ケアグッズ3点セット】カネソン ママニップルシールド 乳頭保護器 Sサイズ 2枚入 ケース付 + ピジョン 母乳パッド フィットアップ 126枚 + カネソン ランシノー 11g×1本入 母乳育児 授乳 出産祝い"
2209,formula,BUNDLE_CONTENTS,high,"Both are Wakodo ぐんぐん 830g×2缶, but Amazon explicitly includes おしりふき (baby wipes) as an additional bundle item (visible in image), while Rakuten's listing (code 012522491) does not include wipes. The extra item makes these different bundles, not merely different counts of the same product.",B09S5R75MT,https://www.amazon.co.jp/dp/B09S5R75MT,"https://item.rakuten.co.jp/rcmdse/d4-4987244600066/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","【和光堂】 フォローアップミルク ぐんぐん 830g×2缶パック(おしりふき付き) 粉ミルク 粉末 [満9か月頃から3歳頃] ベビーミルク 鉄・カルシウム・DHA配合","フォローアップミルク グングン(830g×2缶) 012522491【送料無料】"
2357,formula,BUNDLE_CONTENTS,high,"Both are Wakodo はいはい infant formula but Amazon is 810g×2缶 bundled with wipes (おしりふき付き), while Rakuten is 810g×8缶 with no wipes. Quantity differs (2 vs 8 cans) AND the Amazon bundle contains an additional non-formula item (wipes). The bundles contain different items, not just different counts of the same unit.",B09S5QL6F3,https://www.amazon.co.jp/dp/B09S5QL6F3,"https://item.rakuten.co.jp/easylifeshop/mua1a982b435/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","【和光堂】 レーベンスミルク はいはい 810g×2缶パック(おしりふき付き) 粉ミルク 粉末 [0か月から1歳頃] ベビーミルク DHA・アラキドン酸配合","【和光堂】 レーベンスミルク はいはい 810g×8缶 [0か月から1歳頃まで] ベビーミルク DHA・アラキドン酸配合 送料無料"
3369,bottles,OTHER,high,"Amazon listing is a name-engraved (名入れ付き) custom product — the image shows 'HARUTO' laser-etched on the lid, sold by a third-party engraving seller in a different color/design. Rakuten is the standard retail Richell トライ 保冷ストローマグSD without personalization. A personalized custom-engraved item is a different product from the standard retail unit.",B0F43HHL64,https://www.amazon.co.jp/dp/B0F43HHL64,"https://item.rakuten.co.jp/akane-pharmacy/b09nd2n1bq/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","リッチェル トライ もれない保冷ストローマグ 300ml ライトグレー 名入れ付き 生後7カ月頃～ ストローマグ ベビーマグ 赤ちゃん 水分補給 出産祝い ギフト","リッチェル トライ 保冷ストローマグSD ライトグレー 1個 300ml 7カ月"
3380,bottles,TYPE,high,"Amazon image shows a slim, tall, handle-free stainless straw bottle (STOT3ST-A, adult/older-child style, blue Totoro design). Rakuten image shows a baby-style straw mug with dual fold-out handles, dome cap, and yellow/pink Totoro design — a clearly different product model. Different form factor/type. Rakuten is also a 5-pack.",B0C4N5KQZT,https://www.amazon.co.jp/dp/B0C4N5KQZT,"https://item.rakuten.co.jp/bloomgreen/8137643/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","スケーター(Skater) ストロー マグボトル 350ml 保冷専用 ステンレス 水筒 となりのトトロ スタジオジブリ ワンタッチオープン STOT3ST-A","【5個セット】 スケーター ステンレス ストローマグ トトロ 350ml(1本)×5個セット【正規品】"
3448,bottles,LINE,high,"Amazon is the standard 'はじめてコップ' (cloud/blue design, no glow feature); Rakuten is '光るはじめてコップ' — a distinct sub-line whose handles glow in the dark, prominently advertised on the Rakuten box image. Different product lines despite same 240ml capacity.",B0BTNY1G4K,https://www.amazon.co.jp/dp/B0BTNY1G4K,"https://item.rakuten.co.jp/drugpure/te_4972990178419/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","COMBI コンビ ラクマグ はじめてコップ 240 N くも","【本日楽天ポイント5倍相当】【定形外郵便で送料無料でお届け】コンビ株式会社ラクマグ 光るはじめてコップ 240 N ひつじ（PW） 1個【ドラッグピュア楽天市場店】【TK450】"
3489,bottles,OTHER,high,"Both share model code XP24AG and identical form/size, but Amazon shows a Hello Kitty character print while Rakuten shows Disney Princess. Different licensed character designs are distinct SKUs sold as separate products, confirmed by the images.",B0DG1KPSFX,https://www.amazon.co.jp/dp/B0DG1KPSFX,"https://item.rakuten.co.jp/cocodecow/r996hb/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","スケーター(Skater) ベビー食器 小鉢 子供用 5ヵ月頃～ 抗菌 プラスチック製 290ml 子供食器 サンリオ ハローキティ 日本製 XP24AG","【レビュー投稿で100円OFFクーポン】【お取り寄せ】スケーター ベビー用 PP製 小鉢 プリンセス XP24AG キャラクターグッズ 教材 学童文具 学童 文具"
3495,baby_chair,BUNDLE_CONTENTS,high,"Amazon sells the Richell フィージーR ホワイト chair alone. Rakuten sells a bundle including the same chair plus silicone cup set, silicone plate, silicone bowl, and name-engraving service — additional items not present in the Amazon listing.",B0FTZ25LRM,https://www.amazon.co.jp/dp/B0FTZ25LRM,"https://item.rakuten.co.jp/comellbaby/s1000101121/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","リッチェル(Richell) ベビーチェア フィージーR ホワイト 6カ月～3才頃 ローチェア 椅子 子供 食事 テーブル 取り外し可","【配送区分R3】【数量限定おまけ付き】【名入れ】【セットでお得】リッチェル ベビーチェア フィージーR ホワイト 名入れ＋シリコーン食器 ベージュ｜レーザー加工 生後6ヵ月頃から ベビーチェア 赤ちゃん 椅子 食事チェア 出産祝い 名入れギフト"
3504,baby_chair,BUNDLE_CONTENTS,high,"Amazon sells the Richell フィージーR ベージュ chair alone. Rakuten sells a bundle including the same chair plus silicone cup set (ivory), silicone plate, silicone bowl, and name-engraving — additional items making it a different purchase from the standalone chair.",B0FTZ2D1V6,https://www.amazon.co.jp/dp/B0FTZ2D1V6,"https://item.rakuten.co.jp/comellbaby/s1000101137/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","リッチェル(Richell) ベビーチェア フィージーR ベージュ 6カ月～3才頃 ローチェア 椅子 子供 食事 テーブル 取り外し可","【配送区分R3】【数量限定おまけ付き】【名入れ】【セットでお得】リッチェル ベビーチェア フィージーR ベージュ 名入れ＋シリコーン食器 アイボリー｜レーザー加工 生後6ヵ月頃から ベビーチェア 赤ちゃん 椅子 食事チェア 出産祝い 名入れギフト"
3550,bottles,LINE,high,"Amazon is the standard 'はじめてコップ' 240ml (いぬ design, 2025 model, single unit, no glow). Rakuten is '光るはじめてコップ' (ひつじ design, glow-in-dark handles, 24-pack case). Different product lines (standard vs 光る) confirmed by both titles and images; also a 24-unit case vs single unit.",B0F3GGWDRQ,https://www.amazon.co.jp/dp/B0F3GGWDRQ,"https://item.rakuten.co.jp/bazar-progre/8172479/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","Combi コンビ ラクマグ はじめてコップ 240ml いぬ 5ヶ月頃から 日本製マグシリーズ【25年モデル】","【24個セット】【1ケース分】 コンビ ラクマグ 光るはじめてコップ ひつじ(240ml)×24個セット 1ケース分【正規品】【mor】【ご注文後発送までに3週間前後頂戴する場合がございます】"
3618,bottles,BUNDLE_CONTENTS,high,"Amazon is a 名入れ付き (with personalized name-engraving heart case) 1-unit gift version; Rakuten is 5×standard units with no engraving accessory. The Amazon bundle contains an extra personalization component (engraved heart case) absent from the Rakuten product, making the bundle contents different.",B0F43J5V2B,https://www.amazon.co.jp/dp/B0F43J5V2B,"https://item.rakuten.co.jp/shopsoleil/8167152/?rafcid=wsc_i_is_4fc4d628-58e9-4fbd-a881-6437783c8049","リッチェル トライ のみやすいコップマグ 200ml ピンクオレンジ 名入れ付き 生後8カ月頃～ ベビーマグ コップ 赤ちゃん 水分補給 出産祝い ギフト","【5個セット】 リッチェル トライ のみやすいコップマグ ピンクオレンジ(200ml)×5個セット【正規品】【mor】【ご注文後発送までに3週間前後頂戴する場合がございます】"
